Membership No  Date Joined  Active  
    37813      2016-10-2    no    
    15528      2019-2-22    no    
    19312      2017-9-19    no    
    90069      2017-11-11   no    
    63820      2020-4-3     no    
    57438      2018-6-25    no    
    96730      2018-6-6     no    
    63603      2019-5-4     no    
    56430      2020-7-18    no    
    94417      2018-12-21   no    
    63605      2020-3-23    no    
    78885      2020-7-9     no    
    94662      2017-10-11   no    
    71676      2019-11-24   no    
